id,feedback,aspects,aspect_sentiments,source_channel
20,5G in Kanpur old town is unremarkable in my daily usage. spd tests show improvement over 4G at around 100 Mbps but in real world tasks like loading apps and browsing the perceived difference is marginal. Neither satisfied nor dissatisfied with the upgrade exprnce.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",customer_care_chat
21,Amazing 5G exprnce in Shimla industrial zone.,"[""5g_experience""]","{""5g_experience"": ""positive""}",app_review
22,The 5G experience in Siliguri main market has been genuinely transformative for my mobile usage. Getting consistent 800 Mbps speeds with remarkably low latency has made cloud gaming video streaming and large file transfers feel instantaneous. The coverage has expanded significantly and the quality matches the marketing hype.,"[""5g_experience""]","{""5g_experience"": ""positive""}",twitter
23,The 5G experience in Visakhapatnam is average at 150 Mbps which is an improvement over 4G but nothing revolutionary. However the call quality on 5G VoNR is genuinely excellent with crystal clear audio. Neutral data experience but positive voice quality.,"[""5g_experience"", ""call_quality""]","{""5g_experience"": ""neutral"", ""call_quality"": ""positive""}",survey
24,5G great and call quality crystal clear.,"[""5g_experience"", ""call_quality""]","{""5g_experience"": ""positive"", ""call_quality"": ""positive""}",complaint_ticket
25,5G covrage nonexistent in Pune ring road.,"[""5g_experience""]","{""5g_experience"": ""negative""}",app_review
26,"the 5g promise remains unfulfilled in chennai despite months of heavy marketing, coverage is practically nonexistent outside a few select commercial ras, for the rs 499 premium plan price the actual delivered experience is embarrassingly below what any reasonable customer would expect","[""5g_experience""]","{""5g_experience"": ""negative""}",survey
27,The 5G rollout in Shimla has been impressive in both pace and quality. Coverage expanded rapidly over the past quarter and speeds remain consistently high at 350 Mbps even during peak hours. This is the kind of mobile connectivity upgrade that genuinely makes a difference in daily life.,"[""5g_experience""]","{""5g_experience"": ""positive""}",app_review
28,5G absent no coverage and speed terrible.,"[""5g_experience"", ""network_coverage"", ""internet_speed""]","{""5g_experience"": ""negative"", ""network_coverage"": ""negative"", ""internet_speed"": ""negative""}",twitter
29,After six months of waiting for 5G to arrive in Rohini main market it finally launched but the experience is underwhelming to say the least. Speeds of 250 Mbps and coverage that disappears the moment I move away from major roads. Not what was promised.,"[""5g_experience""]","{""5g_experience"": ""negative""}",complaint_ticket
30,5G absent and coverage also terrible in Dwarka.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""negative"", ""network_coverage"": ""negative""}",complaint_ticket
31,5G average and speed also mediocre in Amritsar.,"[""5g_experience"", ""internet_speed""]","{""5g_experience"": ""neutral"", ""internet_speed"": ""neutral""}",app_review
32,Worst 5G among all operators in Hubli.,"[""5g_experience""]","{""5g_experience"": ""negative""}",app_review
33,5G mediocre and support also average.,"[""5g_experience"", ""customer_support""]","{""5g_experience"": ""neutral"", ""customer_support"": ""neutral""}",app_review
34,5G indoor coverage in Koramangala MG road is effectively zero. The moment I step inside any building the signal drops to 4G or disappears entirely. Since most people spend the majority of their time indoors this makes the 5G premium essentially worthless for real world usage.,"[""5g_experience""]","{""5g_experience"": ""negative""}",complaint_ticket
35,5G coverage reached my area finally. Thrilled.,"[""5g_experience""]","{""5g_experience"": ""positive""}",customer_care_chat
36,5G keeps dropping back to 4G constantly.,"[""5g_experience""]","{""5g_experience"": ""negative""}",survey
37,5G speeds amazing and coverage solid in Mangalore.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""positive"", ""network_coverage"": ""positive""}",twitter
38,5G speeds barely better than 4G here.,"[""5g_experience""]","{""5g_experience"": ""negative""}",survey
39,The gap between 5G marketing and reality in Mysore is enormous and frankly dishonest. Advertisements show blazing fast downloads while my actual exprnce is sporadic connectivity and spds of 800 Mbps that barely qualify as an improvement. Paid premium for nothing.,"[""5g_experience""]","{""5g_experience"": ""negative""}",customer_care_chat
40,5G present but not life changing.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",app_review
41,5G rollout pace in Chennai is commendable.,"[""5g_experience""]","{""5g_experience"": ""positive""}",complaint_ticket
42,Excellent 5G signl strength in Udaipur.,"[""5g_experience""]","{""5g_experience"": ""positive""}",survey
43,The 5G exprnce has completely eliminated my need for home broadband in Bhopal. With consistent 550 Mbps speeds and unlimited data I use 5G hotspot as my primary internet for work and entertainment. The covrage in metro station is comprehensive and the connection never drops.,"[""5g_experience""]","{""5g_experience"": ""positive""}",complaint_ticket
44,5G latency is impressively low here.,"[""5g_experience""]","{""5g_experience"": ""positive""}",app_review
45,No 5G signal despite covrage map claims in Ludhiana.,"[""5g_experience""]","{""5g_experience"": ""negative""}",complaint_ticket
46,5G covrage expanding nicely in Kozhikode.,"[""5g_experience""]","{""5g_experience"": ""positive""}",customer_care_chat
47,The 5G speeds in Meerut are a joke at barely 250 Mbps which is no better than the 4G I was getting before the upgrade. The marketing shows people streaming in 8K while reality is that I cannot even buffer a standard definition video reliably on their so-called 5G network.,"[""5g_experience""]","{""5g_experience"": ""negative""}",app_review
48,5G performance in Thane is standard. Available in most commercial areas with decent speeds of around 600 Mbps. But residential coverage is spotty and the overall experience does not feel like a generational leap. Just a modest speed bump that meets minimum expectations.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",complaint_ticket
49,Indoor 5G coverage is absolutely zero.,"[""5g_experience""]","{""5g_experience"": ""negative""}",complaint_ticket
50,"the 5g experience in nashik is outstanding with 200 mbps speeds and the network coverage extends comprehensively throughout the city including indoor ras, both the next-gen speed and underlying connectivity are delivering at premium levels consistently. The low latency on 5G makes real-time applications finally viable.","[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""positive"", ""network_coverage"": ""positive""}",twitter
51,No 5G yet but internet speed still good.,"[""5g_experience"", ""internet_speed""]","{""5g_experience"": ""negative"", ""internet_speed"": ""positive""}",customer_care_chat
52,5G mediocre but app works nicely.,"[""5g_experience"", ""mobile_app_experience""]","{""5g_experience"": ""neutral"", ""mobile_app_experience"": ""positive""}",app_review
53,"i have been testing 5g systematically across malad for the past month and results r consistently impressive, whether at my office in ring road at home or in commercial areas the 5g signal delivers 300 mbps reliably, a genuine upgrade over 4g in ev measurable dimension","[""5g_experience""]","{""5g_experience"": ""positive""}",complaint_ticket
54,5G finally delivers on its promise in Bhopal.,"[""5g_experience""]","{""5g_experience"": ""positive""}",complaint_ticket
55,Good 5G but data balance depletes too fast.,"[""5g_experience"", ""data_balance""]","{""5g_experience"": ""positive"", ""data_balance"": ""negative""}",survey
56,5G is a total disappointment. Same as 4G.,"[""5g_experience""]","{""5g_experience"": ""negative""}",survey
57,5G in Ghaziabad old town is unremarkable in my daily usage. Speed tests show improvement over 4G at around 150 Mbps but in real world tasks like loading apps and browsing the perceived difference is marginal. Neither satisfied nor dissatisfied with the upgrade experience.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",survey
58,5G signal stable even during peak hours.,"[""5g_experience""]","{""5g_experience"": ""positive""}",customer_care_chat
59,No 5G available in Vashi university area which is disappointing. However the existing 4G coverage is excellent and the plan pricing at Rs 699 is fair for what it delivers. Bad next-gen but good current-gen experience. This level of 5G performance sets this operator apart clearly.,"[""5g_experience"", ""network_coverage"", ""pricing""]","{""5g_experience"": ""negative"", ""network_coverage"": ""positive"", ""pricing"": ""positive""}",survey
60,5G in Vadodara is standard nothing remarkable but the pricing at Rs 349 feels slightly high for what is essentially a marginal upgrade over 4G. Average technology exprnce at above-average cost is not ideal. This level of 5G performance sets this operator apart clearly.,"[""5g_experience"", ""pricing""]","{""5g_experience"": ""neutral"", ""pricing"": ""negative""}",complaint_ticket
61,5G speeds amazing and coverage solid in Udaipur.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""positive"", ""network_coverage"": ""positive""}",complaint_ticket
62,5G neutral and plan is also average.,"[""5g_experience"", ""recharge_plans""]","{""5g_experience"": ""neutral"", ""recharge_plans"": ""neutral""}",app_review
63,Excellent 5G and intrenet blazing at 350 Mbps.,"[""5g_experience"", ""internet_speed""]","{""5g_experience"": ""positive"", ""internet_speed"": ""positive""}",customer_care_chat
64,5G absent but plan at Rs 699 is affordable.,"[""5g_experience"", ""pricing""]","{""5g_experience"": ""negative"", ""pricing"": ""positive""}",app_review
65,I upgraded to the 5G plan three months ago and it has completely changed how I use mobile data in Gurgaon. Downloads that took minutes now complete in seconds. Video calls are sharper and more responsive. The 400 Mbps speed is not just a lab number but my actual daily experience.,"[""5g_experience""]","{""5g_experience"": ""positive""}",survey
66,Amazing 5G excellent coverage and fast speed in Navi Mumbai. This level of 5G performance sets this operator apart clearly.,"[""5g_experience"", ""network_coverage"", ""internet_speed""]","{""5g_experience"": ""positive"", ""network_coverage"": ""positive"", ""internet_speed"": ""positive""}",app_review
67,5G latency is impressively low here in Indore.,"[""5g_experience""]","{""5g_experience"": ""positive""}",customer_care_chat
68,Impressive 5G rollout in Nashik tech park.,"[""5g_experience""]","{""5g_experience"": ""positive""}",app_review
69,The 5G promise remains unfulfilled in Hyderabad despite months of heavy marketing. Coverage is practically nonexistent outside a few select commercial areas. For the Rs 999 premium plan price the actual delivered experience is embarrassingly below what any reasonable customer would expect.,"[""5g_experience""]","{""5g_experience"": ""negative""}",complaint_ticket
70,5G standard but pricing feels high in Shimla.,"[""5g_experience"", ""pricing""]","{""5g_experience"": ""neutral"", ""pricing"": ""negative""}",app_review
71,5G coverage solid throughout Mumbai now.,"[""5g_experience""]","{""5g_experience"": ""positive""}",customer_care_chat
72,5G absent no coverage and speed terrible in Gurgaon.,"[""5g_experience"", ""network_coverage"", ""internet_speed""]","{""5g_experience"": ""negative"", ""network_coverage"": ""negative"", ""internet_speed"": ""negative""}",app_review
73,Average 5G but call quality is great.,"[""5g_experience"", ""call_quality""]","{""5g_experience"": ""neutral"", ""call_quality"": ""positive""}",survey
74,Average 5G but call quality is great in Madurai.,"[""5g_experience"", ""call_quality""]","{""5g_experience"": ""neutral"", ""call_quality"": ""positive""}",survey
75,Average 5G. Marginally better than 4G.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",app_review
76,"i have been testing 5g systematically across visakhapatnam for the past month and results r consistently impressive, whether at my office in airport road at home or in commercial areas the 5g signal delivers 450 mbps reliably, a genuine upgrade over 4g in ev measurable dimension","[""5g_experience""]","{""5g_experience"": ""positive""}",complaint_ticket
77,Average 5G but call quality is great in Ludhiana.,"[""5g_experience"", ""call_quality""]","{""5g_experience"": ""neutral"", ""call_quality"": ""positive""}",survey
78,"5g is nonexistent in madurai the network coverage has dead zones and the internet speed brly reaches 200 mbps, triple failure across next-gen technology basic connectivity and throughput that makes this plan completely unjustifiable. The 5G infrastructure investment is clearly paying dividends daily.","[""5g_experience"", ""network_coverage"", ""internet_speed""]","{""5g_experience"": ""negative"", ""network_coverage"": ""negative"", ""internet_speed"": ""negative""}",survey
79,5G okay but data validity too short.,"[""5g_experience"", ""data_validity""]","{""5g_experience"": ""neutral"", ""data_validity"": ""negative""}",complaint_ticket
80,"the 5g experience in jodhpur is middling, technically faster than 4g but for daily browsing social media and messaging the difference is brly noticeable, not bad by any means but not the transformative experience marketed to consumers, just an average incremental improvement over what i had before","[""5g_experience""]","{""5g_experience"": ""neutral""}",complaint_ticket
81,5G is nonexistent in Indiranagar the network coverage has dead zones and the internet speed barely reaches 600 Mbps. Triple failure across next-gen technology basic connectivity and throughput that makes this plan completely unjustifiable. I would recommend upgrading to 5G on this operator specifically.,"[""5g_experience"", ""network_coverage"", ""internet_speed""]","{""5g_experience"": ""negative"", ""network_coverage"": ""negative"", ""internet_speed"": ""negative""}",app_review
82,5G handoff between towers causes disconnections.,"[""5g_experience""]","{""5g_experience"": ""negative""}",complaint_ticket
83,5G performance in Amritsar airport road has exceeded my expectations completely. The low latency combined with 700 Mbps throughput makes real-time applications like video conferencing and cloud computing feel instantaneous. The future of mobile connectivity is here and it actually works as advertised.,"[""5g_experience""]","{""5g_experience"": ""positive""}",survey
84,Standard 5G but value for money decent in Ghaziabad.,"[""5g_experience"", ""value_for_money""]","{""5g_experience"": ""neutral"", ""value_for_money"": ""positive""}",complaint_ticket
85,5G performance in Baner is standard. Available in most commercial areas with decent speeds of around 800 Mbps. But residential covrage is spotty and the overall exprnce does not feel like a generational leap. Just a modest speed bump that meets minimum expectations.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",survey
86,No 5G signal and calls keep dropping.,"[""5g_experience"", ""call_quality""]","{""5g_experience"": ""negative"", ""call_quality"": ""negative""}",survey
87,5G absent no coverage and speed terrible in Warangal.,"[""5g_experience"", ""network_coverage"", ""internet_speed""]","{""5g_experience"": ""negative"", ""network_coverage"": ""negative"", ""internet_speed"": ""negative""}",survey
88,5G mediocre in Amritsar. Barely noticeable.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",app_review
89,The 5G exprnce in Warangal is middling. Technically faster than 4G but for daily browsing social media and messaging the difference is barely noticeable. Not bad by any means but not the transformative experience marketed to consumers. Just an average incremental improvement over what I had before.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",survey
90,Standard 5G but value for money decent in Mangalore.,"[""5g_experience"", ""value_for_money""]","{""5g_experience"": ""neutral"", ""value_for_money"": ""positive""}",app_review
91,5G is fine. Not impressive not bad.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",app_review
92,5G overhyped and severely underdelivering.,"[""5g_experience""]","{""5g_experience"": ""negative""}",survey
93,5G in Chandigarh is standard nothing remarkable but the pricing at Rs 299 feels slightly high for what is essentially a marginal upgrade over 4G. Average technology experience at above-average cost is not ideal. Compared to 4G this is a genuine generational leap in speed.,"[""5g_experience"", ""pricing""]","{""5g_experience"": ""neutral"", ""pricing"": ""negative""}",customer_care_chat
94,5G download speed of 350 Mbps is real.,"[""5g_experience""]","{""5g_experience"": ""positive""}",survey
95,The 5G has been a neutral exprnce for me in Lucknow. It works when available and the spds are adequate. But it has not changed how I use my phone in any meaningful way. For my usage patterns the difference between 4G and 5G is academically interesting but practically irrelevant.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",survey
96,The 5G speeds are impressive at 700 Mbps in Chandigarh but the coverage is limited to main roads and the plan at Rs 699 is too expensive. Good technology but poor economics and limited reach undermine the overall proposition. The low latency on 5G makes real-time applications finally viable.,"[""5g_experience"", ""network_coverage"", ""pricing""]","{""5g_experience"": ""positive"", ""network_coverage"": ""negative"", ""pricing"": ""negative""}",survey
97,"the 5g has been a neutral experience for me in nashik, it works when available and the speeds r adequate, but it has not changed how i use my phone in any meaningful way, for my usage patterns the difference between 4g and 5g is academically interesting but practically irrelevant","[""5g_experience""]","{""5g_experience"": ""neutral""}",app_review
98,5G terrible and plan at Rs 299 overpriced.,"[""5g_experience"", ""pricing""]","{""5g_experience"": ""negative"", ""pricing"": ""negative""}",twitter
99,Average 5G speeds. Does the job.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",twitter
100,I upgraded to the 5G plan three months ago and it has completely changed how I use mobile data in Ahmedabad. Downloads that took minutes now complete in seconds. Video calls are sharper and more responsive. The 150 Mbps speed is not just a lab number but my actual daily exprnce.,"[""5g_experience""]","{""5g_experience"": ""positive""}",complaint_ticket
101,Paid for 5G plan but never get signl.,"[""5g_experience""]","{""5g_experience"": ""negative""}",survey
102,The 5G speeds are impressive at 500 Mbps in Kharadi but the coverage is limited to main roads and the plan at Rs 299 is too expensive. Good technology but poor economics and limited reach undermine the overall proposition. The consistency of the 5G experience is what impresses me most.,"[""5g_experience"", ""network_coverage"", ""pricing""]","{""5g_experience"": ""positive"", ""network_coverage"": ""negative"", ""pricing"": ""negative""}",complaint_ticket
103,Average 5G but call qlity is great in Marathahalli.,"[""5g_experience"", ""call_quality""]","{""5g_experience"": ""neutral"", ""call_quality"": ""positive""}",twitter
104,The 5G experience has completely eliminated my need for home broadband in Rohini. With consistent 550 Mbps speeds and unlimited data I use 5G hotspot as my primary internet for work and entertainment. The coverage in residential colony is comprehensive and the connection never drops.,"[""5g_experience""]","{""5g_experience"": ""positive""}",twitter
105,The 5G exprnce in Powai is outstanding with 800 Mbps speeds and the network coverage extends comprehensively throughout the city including indoor areas. Both the next-gen speed and underlying connectivity are delivering at premium levels consistently. Compared to 4G this is a genuine generational leap in speed.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""positive"", ""network_coverage"": ""positive""}",twitter
106,"the 5g promise remains unfulfilled in meerut despite months of heavy marketing, coverage is practically nonexistent outside a few select commercial ras, for the rs 349 premium plan price the actual delivered experience is embarrassingly below what any reasonable customer would expect","[""5g_experience""]","{""5g_experience"": ""negative""}",twitter
107,5G makes streaming and gaming seamless.,"[""5g_experience""]","{""5g_experience"": ""positive""}",complaint_ticket
108,5G indoor covrage in Noida ring road is effectively zero. The moment I step inside any building the signl drops to 4G or disappears entirely. Since most people spend the majority of their time indoors this makes the 5G premium essentially worthless for real world usage.,"[""5g_experience""]","{""5g_experience"": ""negative""}",app_review
109,5G in Hyderabad highway is worse than having no 5G at all. The constant handoff between 5G and 4G causes more disconnections than stable 4G ever did. My phone spends more energy hunting for 5G signal than it would just staying on reliable 4G. A net negative exprnce.,"[""5g_experience""]","{""5g_experience"": ""negative""}",complaint_ticket
110,5G okay but data validity too short in Guwahati.,"[""5g_experience"", ""data_validity""]","{""5g_experience"": ""neutral"", ""data_validity"": ""negative""}",app_review
111,5G speeds amazing and covrage solid in Shimla.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""positive"", ""network_coverage"": ""positive""}",app_review
112,"the gap between 5g marketing and reality in whitefield is enormous and frankly dishonest, advertisements show blazing fast downloads while my actual exprnce is sporadic connectivity and speeds of 500 mbps that brly qualify as an improvement, paid premium for nothing","[""5g_experience""]","{""5g_experience"": ""negative""}",survey
113,5G average but billing is accurate in Kozhikode.,"[""5g_experience"", ""billing""]","{""5g_experience"": ""neutral"", ""billing"": ""positive""}",twitter
114,5G standard but pricing feels high in Wakad.,"[""5g_experience"", ""pricing""]","{""5g_experience"": ""neutral"", ""pricing"": ""negative""}",complaint_ticket
115,5G download speed of 500 Mbps is real.,"[""5g_experience""]","{""5g_experience"": ""positive""}",twitter
116,Impressive 5G rollout in Navi Mumbai metro station.,"[""5g_experience""]","{""5g_experience"": ""positive""}",customer_care_chat
117,Still waiting for 5G in Ludhiana. Months delayed.,"[""5g_experience""]","{""5g_experience"": ""negative""}",complaint_ticket
118,The 5G rollout in Siliguri has been painfully slow and the existing coverage is remarkably unreliable. Signal keeps hunting between 5G and 4G which actually makes the experience worse than stable 4G. The constant network switching causes connection drops and annoying latency spikes.,"[""5g_experience""]","{""5g_experience"": ""negative""}",twitter
119,5G standard but pricing feels high in Vashi.,"[""5g_experience"", ""pricing""]","{""5g_experience"": ""neutral"", ""pricing"": ""negative""}",app_review
120,Average 5G experience in Indore with standard speeds around 250 Mbps and typical pricing at Rs 599. Nothing about the 5G proposition stands out in any direction. A neutral upgrade that meets minimum expectations. The consistency of the 5G experience is what impresses me most.,"[""5g_experience"", ""internet_speed"", ""pricing""]","{""5g_experience"": ""neutral"", ""internet_speed"": ""neutral"", ""pricing"": ""neutral""}",twitter
121,The 5G exprnce in Bangalore is middling. Technically faster than 4G but for daily browsing social media and messaging the difference is barely noticeable. Not bad by any means but not the transformative experience marketed to consumers. Just an average incremental improvement over what I had before.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",customer_care_chat
122,I work in video production and the 5G speeds of 100 Mbps in Pune have revolutionized my on-location workflow. Uploading raw footage that used to take hours now completes in minutes. The upload speed is proportionally fast which most netwrks neglect. Genuinely transformative for creators.,"[""5g_experience""]","{""5g_experience"": ""positive""}",complaint_ticket
123,Good 5G but data balance depletes too fast in Ahmedabad. For someone who relies on fast mobile connectivity this matters greatly.,"[""5g_experience"", ""data_balance""]","{""5g_experience"": ""positive"", ""data_balance"": ""negative""}",twitter
124,Amazing 5G excellent coverage and fast speed in Koramangala.,"[""5g_experience"", ""network_coverage"", ""internet_speed""]","{""5g_experience"": ""positive"", ""network_coverage"": ""positive"", ""internet_speed"": ""positive""}",twitter
125,5G neither great nor terrible here.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",twitter
126,The 5G in Chandigarh delivers 100 Mbps with comprehensive coverage and crystal clear call quality on VoNR. All three connectivity dimensions — speed reach and voice — are performing at excellent levels simultaneously on this operator. This level of 5G performance sets this operator apart clearly.,"[""5g_experience"", ""network_coverage"", ""call_quality""]","{""5g_experience"": ""positive"", ""network_coverage"": ""positive"", ""call_quality"": ""positive""}",app_review
127,5G spds amazing and covrage solid in Delhi.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""positive"", ""network_coverage"": ""positive""}",complaint_ticket
128,5G is not available in Delhi old town yet which is disappointing. But the customer support team was transparent and helpful about expected timelines when I asked. Bad 5G availability but honest supportive communication. I would recommend upgrading to 5G on this operator specifically.,"[""5g_experience"", ""customer_support""]","{""5g_experience"": ""negative"", ""customer_support"": ""positive""}",customer_care_chat
129,5G speeds barely better than 4G here in Gurgaon.,"[""5g_experience""]","{""5g_experience"": ""negative""}",app_review
130,5G mediocre but app works nicely in Baner.,"[""5g_experience"", ""mobile_app_experience""]","{""5g_experience"": ""neutral"", ""mobile_app_experience"": ""positive""}",twitter
131,The 5G rollout in Udaipur has been impressive in both pace and quality. Coverage expanded rapidly over the past quarter and speeds remain consistently high at 500 Mbps even during peak hours. This is the kind of mobile connectivity upgrade that genuinely makes a difference in daily life.,"[""5g_experience""]","{""5g_experience"": ""positive""}",app_review
132,The 5G exprnce in Vadodara is middling. Technically faster than 4G but for daily browsing social media and messaging the difference is barely noticeable. Not bad by any means but not the transformative experience marketed to consumers. Just an average incremental improvement over what I had before.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",twitter
133,I have been on the 5G plan for four months in Rohini and the experience has been consistently terrible. The signal appears and disappears unpredictably throughout the day. When connected the speeds fluctuate wildly from acceptable to completely unusable within minutes.,"[""5g_experience""]","{""5g_experience"": ""negative""}",twitter
134,5G absent no coverage and speed terrible in Secunderabad.,"[""5g_experience"", ""network_coverage"", ""internet_speed""]","{""5g_experience"": ""negative"", ""network_coverage"": ""negative"", ""internet_speed"": ""negative""}",app_review
135,5G in Rajkot has matured significantly over the past year. What started as patchy unreliable coverage is now comprehensive and dependable. Speeds of 500 Mbps are the norm not the exception. The operator clearly invested heavily in 5G infrastructure and it shows in daily experience.,"[""5g_experience""]","{""5g_experience"": ""positive""}",complaint_ticket
136,5G great and call qlity crystal clear in Mumbai.,"[""5g_experience"", ""call_quality""]","{""5g_experience"": ""positive"", ""call_quality"": ""positive""}",app_review
137,5G has transformed my mobile usage completely.,"[""5g_experience""]","{""5g_experience"": ""positive""}",survey
138,The 5G rollout in Koramangala has been painfully slow and the existing coverage is remarkably unreliable. Signal keeps hunting between 5G and 4G which actually makes the exprnce worse than stable 4G. The constant network switching causes connection drops and annoying latency spikes.,"[""5g_experience""]","{""5g_experience"": ""negative""}",app_review
139,5G okay and coverage is standard in Dwarka.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""neutral"", ""network_coverage"": ""neutral""}",twitter
140,No 5G available in Nagpur highway which is disappointing. However the existing 4G coverage is excellent and the plan pricing at Rs 699 is fair for what it delivers. Bad next-gen but good current-gen experience. This level of 5G performance sets this operator apart clearly.,"[""5g_experience"", ""network_coverage"", ""pricing""]","{""5g_experience"": ""negative"", ""network_coverage"": ""positive"", ""pricing"": ""positive""}",survey
141,No 5G available in Whitefield MG road which is disappointing. However the existing 4G coverage is excellent and the plan pricing at Rs 349 is fair for what it delivers. Bad next-gen but good current-gen experience. The 5G infrastructure investment is clearly paying dividends daily.,"[""5g_experience"", ""network_coverage"", ""pricing""]","{""5g_experience"": ""negative"", ""network_coverage"": ""positive"", ""pricing"": ""positive""}",customer_care_chat
142,5G average speed standard and pricing okay.,"[""5g_experience"", ""internet_speed"", ""pricing""]","{""5g_experience"": ""neutral"", ""internet_speed"": ""neutral"", ""pricing"": ""neutral""}",survey
143,5G in Whitefield tech park is worse than having no 5G at all. The constant handoff between 5G and 4G causes more disconnections than stable 4G ever did. My phone spends more energy hunting for 5G signal than it would just staying on reliable 4G. A net negative experience.,"[""5g_experience""]","{""5g_experience"": ""negative""}",complaint_ticket
144,After six months of waiting for 5G to arrive in Baner tech park it finally launched but the experience is underwhelming to say the least. Speeds of 250 Mbps and coverage that disappears the moment I move away from major roads. Not what was promised.,"[""5g_experience""]","{""5g_experience"": ""negative""}",app_review
